latitude,longitude,elevation_m,slope_deg
22.0,89.5,0.0,0.0
22.0,89.55,0.0,0.0
22.0,89.6,3.0,0.83
22.0,89.65,1.0,2.09
22.0,89.7,13.0,0.51
22.0,89.75,0.0,1.6
22.0,89.8,11.0,0.19
22.0,89.85,14.0,0.14
22.0,89.9,0.0,0.0
22.0,89.95,6.0,2.01
22.0,90.0,7.0,1.27
22.0,90.05,5.0,0.57
22.0,90.1,7.0,0.27
22.0,90.15,5.0,0.37
22.0,90.2,10.0,1.41
22.0,90.25,6.0,0.14
22.0,90.3,6.0,0.28
22.0,90.35,6.0,0.28
22.0,90.4,5.0,1.06
22.0,90.45,5.0,0.14
22.0,90.5,7.0,0.87
22.0,90.55,0.0,0.0
22.0,90.6,9.0,0.7
22.0,90.65,4.0,0.13
22.0,90.7,0.0,0.0
22.0,90.75,0.0,0.0
22.0,90.8,0.0,0.0
22.0,90.85,0.0,0.0
22.0,90.9,0.0,0.0
22.0,90.95,0.0,0.0
22.0,91.0,0.0,0.0
22.0,91.05,0.0,0.0
22.0,91.1,0.0,0.0
22.0,91.15,0.0,0.0
22.0,91.2,0.0,0.0
22.0,91.25,0.0,0.0
22.0,91.3,0.0,0.0
22.0,91.35,0.0,0.0
22.0,91.4,0.0,0.0
22.0,91.45,0.0,0.0
22.0,91.5,0.0,0.0
22.0,91.55,0.0,0.0
22.0,91.6,0.0,0.0
22.0,91.65,0.0,0.0
22.0,91.7,0.0,0.0
22.0,91.75,0.0,0.0
22.0,91.8,0.0,0.0
22.0,91.85,0.0,0.0
22.0,91.9,4.0,0.62
22.0,91.95,4.0,0.87
22.0,92.0,32.0,3.75
22.0,92.05,17.0,0.88
22.0,92.1,15.0,0.19
22.0,92.15,22.0,0.76
22.0,92.2,58.0,7.14
22.0,92.25,48.0,10.49
22.0,92.3,464.0,11.64
22.0,92.35,111.0,3.85
22.0,92.4,26.0,5.71
22.0,92.45,235.0,9.55
22.0,92.5,674.0,7.64
22.0,92.55,398.0,11.33
22.0,92.6,645.0,13.73
22.0,92.65,246.0,5.54
22.0,92.7,90.0,8.06
22.0,92.75,115.0,6.93
22.0,92.8,370.0,12.87
22.0,92.85,42.0,8.04
22.0,92.9,221.0,7.14
22.0,92.95,462.0,21.28
22.0,93.0,1105.0,38.43
22.0,93.05,594.0,27.73
22.0,93.1,790.0,15.57
22.0,93.15,1441.0,27.33
22.0,93.2,890.0,16.94
22.0,93.25,1691.0,32.64
22.0,93.3,925.0,27.83
22.0,93.35,2233.0,31.72
22.0,93.4,1159.0,20.41
22.0,93.45,1325.0,11.36
22.0,93.5,1919.0,34.27
22.0,93.55,2108.0,28.64
22.0,93.6,2075.0,25.28
22.0,93.65,2000.0,23.83
22.0,93.7,1229.0,26.37
22.0,93.75,781.0,23.1
22.0,93.8,856.0,13.26
22.0,93.85,571.0,10.21
22.0,93.9,501.0,1.71
22.0,93.95,566.0,20.15
22.0,94.0,395.0,6.05
22.0,94.05,287.0,3.62
22.0,94.1,208.0,2.56
22.0,94.15,318.0,3.01
22.0,94.2,336.0,1.02
22.0,94.25,526.0,11.74
22.0,94.3,684.0,11.57
22.0,94.35,669.0,7.43
22.0,94.4,804.0,5.34
22.0,94.45,631.0,9.73
22.0,94.5,228.0,0.4
22.0,94.55,271.0,6.51
22.0,94.6,201.0,3.59
22.0,94.65,207.0,1.75
22.0,94.7,159.0,0.63
22.0,94.75,153.0,0.39
22.0,94.8,139.0,0.88
22.0,94.85,132.0,0.35
22.0,94.9,124.0,0.32
22.0,94.95,128.0,0.5
22.0,95.0,139.0,1.0
22.0,95.05,133.0,0.75
22.0,95.1,87.0,0.91
22.0,95.15,67.0,0.48
22.0,95.2,71.0,0.21
22.0,95.25,79.0,0.44
22.0,95.3,103.0,1.35
22.0,95.35,173.0,1.0
22.0,95.4,141.0,0.6
22.0,95.45,118.0,0.69
22.0,95.5,95.0,0.43
22.0,95.55,96.0,0.25
22.0,95.6,71.0,0.37
22.0,95.65,68.0,0.27
22.0,95.7,69.0,0.61
22.0,95.75,123.0,1.61
22.0,95.8,97.0,1.25
22.0,95.85,130.0,0.81
22.0,95.9,109.0,1.94
22.0,95.95,96.0,0.6
22.0,96.0,113.0,14.55
22.0,96.05,63.0,0.32
22.0,96.1,80.0,0.35
22.0,96.15,80.0,1.12
22.0,96.2,183.0,9.49
22.0,96.25,732.0,5.6
22.0,96.3,780.0,4.42
22.0,96.35,863.0,17.21
22.0,96.4,951.0,1.89
22.0,96.45,1090.0,0.79
22.05,89.5,9.0,0.5
22.05,89.55,9.0,1.28
22.05,89.6,10.0,0.56
22.05,89.65,11.0,0.4
22.05,89.7,13.0,0.38
22.05,89.75,10.0,0.43
22.05,89.8,13.0,0.37
22.05,89.85,0.0,0.0
22.05,89.9,0.0,0.0
22.05,89.95,5.0,0.31
22.05,90.0,0.0,0.0
22.05,90.05,8.0,0.3
22.05,90.1,6.0,0.68
22.05,90.15,7.0,0.13
22.05,90.2,9.0,0.11
22.05,90.25,6.0,0.06
22.05,90.3,4.0,0.3
22.05,90.35,0.0,0.0
22.05,90.4,6.0,0.51
22.05,90.45,0.0,0.0
22.05,90.5,0.0,0.12
22.05,90.55,3.0,0.52
22.05,90.6,4.0,0.87
22.05,90.65,4.0,0.34
22.05,90.7,4.0,0.21
22.05,90.75,2.0,0.36
22.05,90.8,0.0,0.0
22.05,90.85,0.0,0.0
22.05,90.9,0.0,0.0
22.05,90.95,0.0,0.0
22.05,91.0,6.0,0.09
22.05,91.05,0.0,0.0
22.05,91.1,0.0,0.0
22.05,91.15,0.0,0.0
22.05,91.2,0.0,0.0
22.05,91.25,0.0,0.0
22.05,91.3,0.0,0.0
22.05,91.35,0.0,0.0
22.05,91.4,0.0,0.0
22.05,91.45,0.0,0.0
22.05,91.5,0.0,0.0
22.05,91.55,0.0,0.0
22.05,91.6,0.0,0.0
22.05,91.65,0.0,0.0
22.05,91.7,0.0,0.0
22.05,91.75,0.0,0.0
22.05,91.8,0.0,0.0
22.05,91.85,0.0,0.0
22.05,91.9,6.0,0.14
22.05,91.95,16.0,0.6
22.05,92.0,46.0,2.16
22.05,92.05,9.0,0.6
22.05,92.1,14.0,0.32
22.05,92.15,22.0,0.51
22.05,92.2,52.0,0.68
22.05,92.25,93.0,4.82
22.05,92.3,105.0,3.97
22.05,92.35,132.0,11.94
22.05,92.4,94.0,7.08
22.05,92.45,219.0,20.08
22.05,92.5,520.0,9.19
22.05,92.55,356.0,9.55
22.05,92.6,679.0,30.91
22.05,92.65,145.0,6.95
22.05,92.7,151.0,9.75
22.05,92.75,50.0,5.87
22.05,92.8,335.0,24.37
22.05,92.85,118.0,22.85
22.05,92.9,333.0,17.81
22.05,92.95,467.0,22.18
22.05,93.0,1268.0,23.02
22.05,93.05,371.0,17.1
22.05,93.1,710.0,23.54
22.05,93.15,1373.0,30.09
22.05,93.2,933.0,28.32
22.05,93.25,1303.0,34.27
22.05,93.3,809.0,19.59
22.05,93.35,1387.0,19.2
22.05,93.4,1088.0,18.96
22.05,93.45,1847.0,26.43
22.05,93.5,1279.0,6.46
22.05,93.55,2459.0,17.75
22.05,93.6,1540.0,27.97
22.05,93.65,1947.0,18.26
22.05,93.7,1217.0,23.25
22.05,93.75,1189.0,22.16
22.05,93.8,1112.0,21.35
22.05,93.85,577.0,14.2
22.05,93.9,474.0,1.94
22.05,93.95,506.0,4.99
22.05,94.0,399.0,0.74
22.05,94.05,277.0,1.36
22.05,94.1,263.0,2.06
22.05,94.15,350.0,7.29
22.05,94.2,336.0,2.71
22.05,94.25,586.0,6.56
22.05,94.3,554.0,3.56
22.05,94.35,664.0,8.98
22.05,94.4,865.0,13.69
22.05,94.45,801.0,25.06
22.05,94.5,258.0,2.3
22.05,94.55,279.0,2.55
22.05,94.6,225.0,3.86
22.05,94.65,191.0,1.69
22.05,94.7,134.0,0.25
22.05,94.75,140.0,0.09
22.05,94.8,132.0,0.19
22.05,94.85,120.0,0.28
22.05,94.9,116.0,0.13
22.05,94.95,120.0,0.62
22.05,95.0,168.0,2.32
22.05,95.05,125.0,1.06
22.05,95.1,85.0,0.77
22.05,95.15,67.0,0.0
22.05,95.2,73.0,0.3
22.05,95.25,93.0,0.59
22.05,95.3,179.0,3.55
22.05,95.35,214.0,0.74
22.05,95.4,160.0,0.63
22.05,95.45,142.0,0.65
22.05,95.5,125.0,0.9
22.05,95.55,110.0,0.27
22.05,95.6,90.0,0.64
22.05,95.65,71.0,0.31
22.05,95.7,101.0,1.33
22.05,95.75,157.0,0.98
22.05,95.8,127.0,1.16
22.05,95.85,87.0,0.41
22.05,95.9,79.0,0.06
22.05,95.95,102.0,0.03
22.05,96.0,196.0,10.99
22.05,96.05,70.0,0.07
22.05,96.1,68.0,0.67
22.05,96.15,84.0,0.56
22.05,96.2,104.0,0.92
22.05,96.25,409.0,27.44
22.05,96.3,727.0,23.64
22.05,96.35,932.0,14.72
22.05,96.4,1073.0,4.99
22.05,96.45,1078.0,2.52
22.1,89.5,1.0,1.21
22.1,89.55,11.0,0.26
22.1,89.6,1.0,1.67
22.1,89.65,13.0,1.18
22.1,89.7,9.0,0.51
22.1,89.75,10.0,0.55
22.1,89.8,13.0,0.18
22.1,89.85,12.0,0.43
22.1,89.9,0.0,0.0
22.1,89.95,6.0,0.5
22.1,90.0,4.0,0.61
22.1,90.05,6.0,0.45
22.1,90.1,5.0,0.36
22.1,90.15,0.0,0.98
22.1,90.2,6.0,0.31
22.1,90.25,9.0,0.54
22.1,90.3,6.0,0.25
22.1,90.35,4.0,0.22
22.1,90.4,6.0,0.27
22.1,90.45,7.0,0.14
22.1,90.5,0.0,0.11
22.1,90.55,12.0,0.19
22.1,90.6,2.0,0.39
22.1,90.65,7.0,0.12
22.1,90.7,4.0,0.75
22.1,90.75,3.0,0.39
22.1,90.8,0.0,0.0
22.1,90.85,0.0,0.0
22.1,90.9,12.0,1.81
22.1,90.95,0.0,0.0
22.1,91.0,0.0,0.0
22.1,91.05,3.0,0.08
22.1,91.1,0.0,0.0
22.1,91.15,0.0,0.0
22.1,91.2,0.0,0.0
22.1,91.25,0.0,0.0
22.1,91.3,0.0,0.0
22.1,91.35,0.0,0.0
22.1,91.4,0.0,0.0
22.1,91.45,0.0,0.0
22.1,91.5,0.0,0.0
22.1,91.55,0.0,0.0
22.1,91.6,0.0,0.0
22.1,91.65,0.0,0.0
22.1,91.7,0.0,0.0
22.1,91.75,0.0,0.0
22.1,91.8,0.0,0.0
22.1,91.85,0.0,0.0
22.1,91.9,4.0,0.25
22.1,91.95,58.0,1.67
22.1,92.0,13.0,0.24
22.1,92.05,6.0,0.25
22.1,92.1,11.0,0.26
22.1,92.15,39.0,2.59
22.1,92.2,77.0,1.44
22.1,92.25,382.0,17.92
22.1,92.3,97.0,4.13
22.1,92.35,77.0,2.55
22.1,92.4,49.0,6.99
22.1,92.45,247.0,15.76
22.1,92.5,515.0,13.54
22.1,92.55,217.0,10.45
22.1,92.6,290.0,10.72
22.1,92.65,218.0,1.43
22.1,92.7,225.0,4.43
22.1,92.75,102.0,6.26
22.1,92.8,357.0,17.72
22.1,92.85,126.0,9.21
22.1,92.9,195.0,3.42
22.1,92.95,181.0,18.8
22.1,93.0,1115.0,21.29
22.1,93.05,406.0,5.47
22.1,93.1,662.0,20.33
22.1,93.15,1012.0,23.94
22.1,93.2,1114.0,7.67
22.1,93.25,822.0,11.17
22.1,93.3,747.0,25.81
22.1,93.35,1023.0,26.9
22.1,93.4,1385.0,15.8
22.1,93.45,1323.0,21.09
22.1,93.5,1145.0,25.91
22.1,93.55,1872.0,33.98
22.1,93.6,1637.0,18.81
22.1,93.65,1398.0,11.79
22.1,93.7,1501.0,18.0
22.1,93.75,960.0,22.03
22.1,93.8,959.0,14.88
22.1,93.85,555.0,8.34
22.1,93.9,412.0,6.16
22.1,93.95,508.0,5.8
22.1,94.0,347.0,1.31
22.1,94.05,278.0,4.08
22.1,94.1,267.0,4.64
22.1,94.15,333.0,5.03
22.1,94.2,364.0,2.6
22.1,94.25,378.0,5.73
22.1,94.3,638.0,9.91
22.1,94.35,697.0,5.68
22.1,94.4,845.0,12.52
22.1,94.45,668.0,7.87
22.1,94.5,411.0,18.76
22.1,94.55,285.0,1.49
22.1,94.6,413.0,14.97
