latitude,longitude
25.3098633,94.48214677
25.7658,93.9413
25.7131,94.0885
24.1419,94.1078
25.616,94.1167
25.4769,94.1351
25.5215,93.1645
25.8833,91.2
25.3179,94.0462
24.75,93.4333
25.0985,94.3619
27.6163,88.6586
25.5728,91.885
26.7223,95.0243
24.7625,93.4341
27.0987,93.816
25.1553,93.028
22.533,92.899
25.1175,92.8573
27.1761,88.5287
23.591,92.9296
27.3383,88.6069
24.9829,93.5063
25.5125,93.3613
25.31006064,94.48265093
24.9925,93.5
28.9205,95.3429
27.6438,93.871
24.8286,93.5935
27.2298,94.0989
25.9703,91.8584
25.5145,90.2023
25.38,91.88
26.1548,91.7351
22.479,92.967
27.8965,96.1779
25.6682,94.1099
24.004,93.9815
25.5242,92.9914
24.6869,93.9157
27.9032,96.174
25.4191,94.1079
26.8716,94.9921
26.09748244,91.8744337
27.4,92.35
27.3702,88.7334
24.3527,94.3429
26.0977,94.7499
27.3341,88.6083
26.0319,94.5466
27.1249,93.7706
26.1677,94.2442
27.174,95.8011
28.4659,95.86
24.7505,93.4221
25.4477,94.0489
26.284,94.5808
26.149,91.7351
25.0672,93.4093
24.1988,94.1016
27.8776,94.25
26.1475,91.7356
24.9037,93.487
25.4538,93.9827
26.1147,94.3864
27.3425,88.6236
24.5202,92.7239
24.9818,93.5142
26.1985,91.7998
25.6269,94.1139
24.4279,94.0564
26.8727,94.9275
27.0011,93.7273
23.7327,92.7463
27.3721,88.708
25.203,90.5573
26.1984,94.8158
24.4638,92.4943
23.75406693,92.74128531
26.0814,94.803
25.7902,94.1318
24.8961,93.4957
27.0377,88.3603
24.8669,92.3576
25.7428,93.9136
23.3572,92.7878
25.61560252,94.11603493
26.4333,94.8833
26.1314,91.7548
26.1699,94.4922
27.2333,94.1167
24.1293,92.6921
25.03561729,94.0144205
25.3833,94.1884
26.1666,91.7042
26.0977,94.7031
25.48,94.1383
24.7979,92.9974
26.1044,91.7082
24.9336,93.8275
26.4205,94.9731
27.1034,93.6885
27.4888,93.0153
23.899,94.1434
25.0118,94.3136
28.1193,95.1645
25.1019,93.3729
27.3773,88.559
26.2363,94.8133
25.6278,94.1051
23.74182634,92.7141905
23.0137,91.7174
27.3765,88.7628
26.222,94.9152
26.0137,94.5163
26.1407,91.7645
24.808,93.117
25.5114,90.215
25.8877,94.7861
25.6623,94.1072
25.9611,91.3681
24.7339,93.9161
26.1978,91.7665
24.819,94.3551
25.463,92.2121
24.9111,94.4759
27.8458,95.2253
23.8986,91.7599
25.5265,93.8673
26.1062,91.8717
25.4788,94.1399
25.5006,90.0896
26.1662,91.7138
25.8376,94.5234
26.0481,94.4619
26.1324,91.8342
27.1748,88.6458
25.8702,94.7844
26.0214,94.5224
24.7459,93.4251
25.2568,92.3825
26.1295,91.7056
27.167,88.3652
25.5718,94.1211
26.1807,94.5497
27.3746,88.7648
26.1963,91.8074
25.6633,94.4703
26.99195749,88.42280921
26.159,91.8178
26.3333,91.25
26.72,95.029
25.4192,94.108
27.3736,88.7323
25.1718,93.123
25.426,94.6024
26.0093,94.5238
27.1614,93.7525
26.1868,91.6739
25.51614662,94.2341227
26.5836,93.0038
25.1333,93.9667
25.5576,91.8506
25.0634,94.3415
24.837,93.9128
27.1499,88.38
27.1954,88.6115
27.1032,93.6884
25.4916,91.2698
27.163,94.0
26.1619,91.7697
25.0604,93.9877
25.0951,92.3567
27.2743,92.9064
25.7238,89.9032
24.9849,92.8411
25.5007,93.9854
24.3069,93.125
25.6263,94.1057
28.1737,94.7596
27.0869,93.6086
23.8447,93.0514
25.5772,91.8666
25.5498,92.0757
24.8142,93.5444
27.3425,88.2426
25.0477,92.801
25.70223725,94.04619681
26.3185,94.5247
26.1844,91.7896
24.2451,94.0691
25.6237,94.1136
27.1675,88.3651
24.4072,94.0644
23.7527,92.694
26.138,94.25
23.9939,94.0573
26.49349035,91.72137514
25.67,94.1066
24.9356,93.8443
24.7543,93.5039
23.7131,92.7362
26.3897,94.9439
25.1416,92.3807
23.73478778,92.72124394
26.1961,91.7825
25.0728,92.3636
27.172,88.5292
23.7313,92.7187
25.1604,93.6795
27.337,88.609
27.322,88.6087
28.4298,95.8776
24.5204,92.7264
27.0136,92.6351
27.0998,93.6287
26.1771,91.7599
26.9986,95.4993
25.7713,93.8067
27.8837,93.0515
27.05374234,88.42572376
24.8063,93.9482
22.7176,92.8416
27.7,92.8
25.5098,93.8794
24.8628,94.4182
24.9786,93.5027
25.2946,92.8339
26.1226,91.7162
25.583,91.893
24.6005,92.3814
27.5799,91.8569
27.5754,91.9754
27.44,92.2833
26.2083,94.5438
24.6596,93.9784
25.8266,94.1497
26.1768,91.7702
27.8997,93.3497
27.0816,88.4397
23.7281,92.7175
25.16,93.686
25.3433,92.2897
27.5798729,91.85672387
26.1016,91.6906
24.2315,92.6755
26.1965,91.763
26.1028,91.8806
26.0838,94.564
24.042,92.6724
27.125,93.7145
28.8254,96.1509
24.416,94.0984
25.4786,94.1327
25.8782,94.1739
27.1695,88.3664
25.0318,92.4584
28.611,94.9829
23.5397,93.3783
26.1049,91.7369
28.8254,96.1517
27.36,93.0385
26.1309,91.8383
28.3036,95.4112
25.1555,93.8474
25.2745,94.0212
23.73504471,92.71060943
25.0888,92.8551
27.3392,88.6188
26.048,91.8695
23.3439,93.0748
25.5084,90.2191
26.7103,94.693
27.3543,88.6428
24.7679,93.4108
25.72,94.6219
26.0101,94.5282
25.682,94.1076
23.7348,92.7187
25.2193,90.5549
27.5748,91.8644
25.318,94.0441
24.7016,93.5291
25.0633,92.8025
25.6703,94.1095
25.705,94.04
26.3186,94.5121
25.1122,94.3591
28.9986,94.8885
26.7215,95.0283
27.2872,88.2816
23.7365,92.7146
23.7705,92.5217
26.1498,94.6055
26.148,94.8422
25.5144,90.2167
25.52,91.27
26.1964,91.7652
24.4265,94.1913
23.72988966,92.71495623
26.1833,91.8
27.1667,88.35
25.9702,91.8587
27.339,88.6065
25.4993,94.1192
25.5212,90.232
23.9278,94.0906
24.9667,93.55
25.1775,93.0123
25.3056,93.1265
25.1941,94.4481
25.4196,94.1054
25.83,94.13
24.9926,93.4946
23.4495,92.8112
24.7992,93.948
26.1665,91.7049
26.3335,94.5512
24.954,94.2156
25.1796,93.0083
25.4379,94.1162
25.7055,94.0132
27.3034,93.804
28.3092,95.4149
25.9466,94.6279
25.2269,93.1658
26.7225,95.0281
24.3481,94.1146
26.1468,91.6469
25.3612,92.2845
24.6108,92.562
25.7354,90.3852
25.8143,90.5763
25.63961883,94.11112157
24.5308,92.5121
27.2676,88.2891
23.7269,92.7265
25.3908,94.0926
24.0896,91.4663
26.1966,91.802
25.4749,93.1477
26.1097,91.7747
26.2753,94.6654
26.1001,91.6849
28.235,94.9612
26.1699,91.7986
